sleeper_id,date,value
10216,2023-09-08,1036
10216,2023-09-09,1032
10216,2023-09-10,1012
10216,2023-09-11,1007
10216,2023-09-12,968
10216,2023-09-13,943
10216,2023-09-14,919
10216,2023-09-15,915
10216,2023-09-16,901
10216,2023-09-17,901
10216,2023-09-18,886
10216,2023-09-19,876
10216,2023-09-20,877
10216,2023-09-21,873
10216,2023-09-22,878
10216,2023-09-23,854
10216,2023-09-24,834
10216,2023-09-25,829
10216,2023-09-26,835
10216,2023-09-27,822
10216,2023-09-28,823
10216,2023-09-29,813
10216,2023-09-30,823
10216,2023-10-01,828
10216,2023-10-02,808
10216,2023-10-03,824
10216,2023-10-04,824
10216,2023-10-05,815
10216,2023-10-06,787
10216,2023-10-07,792
10216,2023-10-08,783
10216,2023-10-09,773
10216,2023-10-10,733
10216,2023-10-11,728
10216,2023-10-12,699
10216,2023-10-13,670
10216,2023-10-14,681
10216,2023-10-15,691
10216,2023-10-16,692
10216,2023-10-17,687
10216,2023-10-18,697
10216,2023-10-19,697
10216,2023-10-20,663
10216,2023-10-21,633
10216,2023-10-22,619
10216,2023-10-23,639
10216,2023-10-24,654
10216,2023-10-25,669
10216,2023-10-26,685
10216,2023-10-27,700
10216,2023-10-28,710
10216,2023-10-29,716
10216,2023-10-30,696
10216,2023-10-31,711
10216,2023-11-01,682
10216,2023-11-02,672
10216,2023-11-03,653
10216,2023-11-04,653
10216,2023-11-05,643
10216,2023-11-06,638
10216,2023-11-07,638
10216,2023-11-08,648
10216,2023-11-09,649
10216,2023-11-10,669
10216,2023-11-11,664
10216,2023-11-12,635
10216,2023-11-13,615
10216,2023-11-14,615
10216,2023-11-15,631
10216,2023-11-16,662
10216,2023-11-17,643
10216,2023-11-18,664
10216,2023-11-19,669
10216,2023-11-20,699
10216,2023-11-21,735
10216,2023-11-22,750
10216,2023-11-23,740
10216,2023-11-24,731
10216,2023-11-25,736
10216,2023-11-26,736
10216,2023-11-27,761
10216,2023-11-28,781
10216,2023-11-29,781
10216,2023-11-30,781
10216,2023-12-01,781
10216,2023-12-02,792
10216,2023-12-03,792
10216,2023-12-04,822
10216,2023-12-05,812
10216,2023-12-06,812
10216,2023-12-07,812
10216,2023-12-08,817
10216,2023-12-09,818
10216,2023-12-10,823
10216,2023-12-11,823
10216,2023-12-12,823
10216,2023-12-13,818
10216,2023-12-14,828
10216,2023-12-15,823
10216,2023-12-16,823
10216,2023-12-17,818
10216,2023-12-18,824
10216,2023-12-19,844
10216,2023-12-20,834
10216,2023-12-21,824
10216,2023-12-22,824
10216,2023-12-23,820
10216,2023-12-24,830
10216,2023-12-25,835
10216,2023-12-26,840
10216,2023-12-27,835
10216,2023-12-28,845
10216,2023-12-29,850
10216,2023-12-30,866
10216,2023-12-31,871
10216,2024-01-01,865
10216,2024-01-02,851
10216,2024-01-03,836
10216,2024-01-04,817
10216,2024-01-05,818
10216,2024-01-06,819
10216,2024-01-07,809
10216,2024-01-08,809
10216,2024-01-09,841
10216,2024-01-10,816
10216,2024-01-11,831
10216,2024-01-12,836
10216,2024-01-13,867
10216,2024-01-14,868
10216,2024-01-15,853
10216,2024-01-16,863
10216,2024-01-17,874
10216,2024-01-18,874
10216,2024-01-19,874
10216,2024-01-20,884
10216,2024-01-21,874
10216,2024-01-22,879
10216,2024-01-23,869
10216,2024-01-24,899
10216,2024-01-25,889
10216,2024-01-26,884
10216,2024-01-27,889
10216,2024-01-28,894
10216,2024-01-29,889
10216,2024-01-30,909
10216,2024-01-31,894
10216,2024-02-01,890
10216,2024-02-02,895
10216,2024-02-03,905
10216,2024-02-04,916
10216,2024-02-05,920
10216,2024-02-06,906
10216,2024-02-07,910
10216,2024-02-08,906
10216,2024-02-09,886
10216,2024-02-10,887
10216,2024-02-11,877
10216,2024-02-12,872
10216,2024-02-13,872
10216,2024-02-14,877
10216,2024-02-15,893
10216,2024-02-16,898
10216,2024-02-17,883
10216,2024-02-18,879
10216,2024-02-19,894
10216,2024-02-20,889
10216,2024-02-21,864
10216,2024-02-22,849
10216,2024-02-23,849
10216,2024-02-24,864
10216,2024-02-25,849
10216,2024-02-26,824
10216,2024-02-27,835
10216,2024-02-28,850
10216,2024-02-29,840
10216,2024-03-01,835
10216,2024-03-02,825
10216,2024-03-03,825
10216,2024-03-04,821
10216,2024-03-05,836
10216,2024-03-06,841
10216,2024-03-07,828
10216,2024-03-08,761
10216,2024-03-09,757
10216,2024-03-10,774
10216,2024-03-11,806
10216,2024-03-12,799
10216,2024-03-13,791
10216,2024-03-14,797
10216,2024-03-15,823
10216,2024-03-16,786
10216,2024-03-17,811
10216,2024-03-18,806
10216,2024-03-19,818
10216,2024-03-20,820
10216,2024-03-21,831
10216,2024-03-22,850
10216,2024-03-23,853
10216,2024-03-24,832
10216,2024-03-25,831
10216,2024-03-26,850
10216,2024-03-27,819
10216,2024-03-28,757
10216,2024-03-29,814
10216,2024-03-30,769
10216,2024-03-31,749
10216,2024-04-01,745
10216,2024-04-02,731
10216,2024-04-03,706
10216,2024-04-04,706
10216,2024-04-05,708
10216,2024-04-06,696
10216,2024-04-07,677
10216,2024-04-08,657
10216,2024-04-09,659
10216,2024-04-10,674
10216,2024-04-11,652
10216,2024-04-12,699
10216,2024-04-13,731
10216,2024-04-14,743
10216,2024-04-15,730
10216,2024-04-16,716
10216,2024-04-17,694
10216,2024-04-18,702
10216,2024-04-19,675
10216,2024-04-20,696
10216,2024-04-21,703
10216,2024-04-22,705
10216,2024-04-23,677
10216,2024-04-24,713
10216,2024-04-25,708
10216,2024-04-26,711
10216,2024-04-27,744
10216,2024-04-28,740
10216,2024-04-29,741
10216,2024-04-30,761
10216,2024-05-01,739
10216,2024-05-02,718
10216,2024-05-03,710
10216,2024-05-04,697
10216,2024-05-05,690
10216,2024-05-06,723
10216,2024-05-07,756
10216,2024-05-08,744
10216,2024-05-09,736
10216,2024-05-10,750
